Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Armenia,989.6423432,1031.098259,1116.907192,1166.187962,1249.612129,1385.044794,1582.057622,1815.788224,2018.460141,2312.982861,2636.256648,3019.465561,3250.498611,2810.192841,2889.566228,3043.262786,3278.670448,3402.083855,3538.529392,3666.141822,3689.830082,3985.916698,4215.899394,4561.967799,4256.131228,4526.597489,5116.205756
American Samoa,,,,,,,12804.43584,12980.7223,13105.16908,13136.48008,12690.52911,13029.61628,12795.02456,12378.17019,12532.31112,12656.68814,12247.63529,12098.27515,12494.98021,13101.54182,13116.43098,12442.85767,13049.33015,13288.35656,14214.64646,14464.81405,14969.05994
Antigua and Barbuda,14190.9743,14669.01619,15076.3926,15370.82809,16055.95374,15092.46927,15053.9663,15788.7402,16516.08661,17380.98602,19341.32815,20854.06244,20541.75334,17809.93268,16191.15676,15684.78139,15739.03484,15668.43551,15882.30926,15985.54114,16526.43614,16830.39626,17901.04091,18357.67882,14803.76951,15921.09512,17335.04704
Australia,40336.29915,41463.64566,42966.7934,44636.02425,45858.58009,46190.38121,47485.34109,48393.13672,49901.0153,50852.1612,51552.89383,52530.70189,53335.0057,53235.92358,53581.15858,54114.72619,55261.91838,55734.57434,56341.13415,56758.8692,57432.18029,57804.05091,58600.79036,59000.73544,58082.42658,59225.52454,60993.64125
Austria,34537.73957,35220.88774,36442.28823,37664.94328,38842.89052,39184.8086,39636.48261,39815.22195,40651.22662,41281.27076,42496.35105,43937.71289,44440.05589,42655.19213,43334.50896,44451.00019,44549.8817,44299.37818,44245.16874,44195.81759,44590.25163,45281.7234,46154.6251,46616.35917,43343.9719,44984.41974,46697.85652
Azerbaijan,1105.587242,1158.481658,1262.291887,1343.855939,1480.808691,1614.848858,1754.135241,1918.611037,2077.88527,2631.851453,3501.164825,4327.113605,4693.07708,5023.967291,5215.204154,5152.838502,5194.920917,5426.095942,5506.181696,5500.503646,5270.738166,5229.70989,5262.368705,5348.453189,5083.560254,5345.439864,5590.004396
Burundi,325.9119164,321.0896907,330.1289307,319.1358008,310.0067109,308.645199,313.4864059,300.086153,303.11967,294.7387734,299.7691208,298.9366604,300.8413492,296.8470949,297.7917271,299.0171757,301.4813193,305.2908352,307.7655313,289.3596272,282.9759666,277.9598031,274.1319085,270.1372774,263.3609887,264.3648329,262.1848047
Belgium,31681.93636,32804.36054,33376.57484,34479.90645,35674.79125,35943.23796,36393.24177,36617.38038,37761.28132,38426.05191,39147.76356,40290.22776,40151.84987,39025.22079,39777.92528,39929.09514,39975.57364,39970.3175,40421.42079,41008.29672,41318.01964,41825.76283,42382.31828,43098.47506,40655.55715,43262.43159,44184.68529
Benin,817.8497352,839.9516967,847.0744875,865.4525625,888.7301846,908.347703,922.4176387,925.8492611,938.0381781,924.2695241,931.7691409,959.5549935,977.3031632,970.9659689,962.8161095,962.7445897,980.0746132,1020.528234,1054.108767,1041.652523,1045.150937,1072.362032,1111.227247,1153.72621,1164.708967,1214.07759,1255.607293
Burkina Faso,385.2291999,399.1849998,416.7416997,434.6583922,429.8473722,444.5497549,449.8539312,470.1295825,476.0099809,501.2072502,516.1767677,521.3452592,535.5836447,535.5168345,563.9267767,583.6794771,602.7867588,618.8045832,626.6262508,632.1266858,650.4172609,671.2517963,696.0445708,714.6460001,709.0577501,738.4186601,732.5703234
Bangladesh,574.8358194,590.0027887,609.0135627,625.363854,646.0377635,666.0677553,678.8675089,698.7320856,723.2278384,758.8899732,799.7814748,847.2819482,890.2961672,927.0180869,967.5610807,1017.627731,1070.595164,1120.685334,1173.893,1236.004392,1307.732328,1376.603526,1460.304228,1557.964327,1593.3474,1684.433479,1784.73888
Bulgaria,4257.0951,3678.516598,3843.4622,3540.55608,3721.303491,3941.275691,4264.271701,4523.286223,4854.273387,5236.086372,5634.911209,6054.232485,6470.589734,6294.433392,6434.552431,6611.303845,6699.503001,6700.535988,6802.710324,7078.860323,7344.443503,7601.438474,7862.86183,8237.926783,7958.82684,8638.718376,9550.94255
