Year,Month,Month year,Rolling Mean,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico
1997,10,,,81.82978521,78.20679514,90.62510349,38.86630936,68.98653771,98.36811829,72.77875358,86.93821451,59.29633258,72.82928944,86.94073774,104.004614,83.5960217,114.7560584,128.3749733,105.4032745,100.8700514,28.42041902,64.61637878,,89.02506,92.92955831,83.15766128,169.6731144,101.3017651,117.7449085
1997,11,,,96.3162716,90.77301723,137.1705334,123.9213253,83.78520825,100.2946014,60.43690201,108.9634059,79.6098429,68.68808543,98.00193335,159.9137374,24.48774786,80.1012265,216.1280204,91.96852112,124.296227,50.00764245,48.63267899,,68.78263992,85.98280738,69.05575019,133.3647303,106.0545915,136.4918107
1997,12,,,106.0557584,96.87521473,167.1848248,127.4560183,85.2606452,194.4972382,18.13609724,121.2615435,62.68272509,88.88281198,104.703733,181.3108247,92.28238357,92.25221849,231.9099038,150.546463,144.6142197,22.7170016,57.48029709,,50.97836208,103.6995252,20.72246854,64.09413633,97.0392339,178.8007569
1998,1,,,99.07634097,95.17153657,90.12360261,91.31592958,119.9224259,156.5882111,68.0073651,107.8092377,51.94140814,49.25668052,80.95994084,168.6197177,112.7335464,78.99841263,217.6068949,85.98440552,131.6425379,61.16945681,58.23797607,,70.36617824,107.9537597,77.7058297,165.7242483,118.109067,121.2255949
1998,2,,,86.76073629,84.02487896,109.5289044,53.30401058,119.860557,159.1158752,86.36794886,96.32119126,55.6411284,32.46657086,83.90097434,134.3110243,67.58275705,84.05859571,170.7888429,62.05884552,111.9831155,29.6542606,41.42932892,,69.35782806,101.1494696,98.68479856,231.2622645,99.81307438,131.5429805
1998,3,,,88.09052585,83.37303357,62.57069914,53.72603889,88.21995971,116.5810623,56.81838686,112.852007,32.82840234,79.80081036,67.86052652,143.3553456,63.11292718,125.5381892,194.3732204,41.53845215,123.790111,47.47960998,59.95455933,,87.09315548,83.34761451,64.92120209,100.901273,95.30582681,231.2356553
1998,4,,,79.3463996,73.20122174,101.8901396,37.66267929,79.16266499,88.54354095,17.01349876,88.67499838,100.1266909,42.08200341,47.0175816,148.8349669,84.75476193,105.6075868,183.9382374,49.4990921,120.7593774,29.50868249,55.19156265,,57.05706751,74.45728445,19.43977738,77.83146008,108.5122798,163.4818022
1998,5,,,85.8773694,79.71538641,113.759549,43.40617678,107.9260933,82.45681763,36.58663464,107.9574262,59.02740053,103.6131748,60.13514151,137.8712241,38.77021954,82.74916141,182.8304394,50.57260895,112.4555071,34.8055508,70.70422363,,82.92330165,80.1271411,41.80421924,342.7852762,103.0714915,197.5841763
1998,6,,,84.89424911,80.80729649,103.7514275,92.30954771,102.9903924,131.4233246,59.77421668,115.4453828,52.63696536,73.61322489,85.35442508,126.3357024,65.41877714,65.63902289,185.0726176,63.47054672,103.7907379,37.61526047,62.38226318,,75.54866895,80.88773247,68.29855995,204.8021101,98.40231469,216.0543129
1998,7,,,100.7522623,96.85441185,132.876546,40.21700241,112.5569579,139.0942535,87.90062754,121.0129535,52.46161871,103.7340121,92.83360282,158.8401238,63.26953494,83.75285928,208.5656101,54.49784851,123.96094,69.81322442,60.37129211,,102.526763,101.4185201,100.4360511,264.2850715,115.3926953,232.2649201
