Year,GEPU_current,GEPU_ppp,AUS,BRA,CAN,CHL,Hybrid CHN,COL,FRA,DEU,GRC,IND,IRL,ITA,JPN,KOR,NLD,RUS,ESP,SGP,GBR,USA,SCMP CHN,Mainland CHN,SWE,MEX
1996,,,,52.8699944016667,135.358671818333,68.77628867,,,74.6353336966667,94.3989550308333,,,63.79799501,,82.9234317583333,50.1989356675,,231.064122525,,,,75.8333609908333,,,105.682157469167,130.733857789167
1997,77.4194464766667,75.9558143425,85.8285845216667,64.2213079908333,79.721896305,92.7795470508333,57.1187605283333,88.1435993025,72.2220568258333,79.2346035233333,94.9034500833333,105.847184454167,67.4278510158333,126.6030766375,121.228997338333,71.7464392941667,102.277668396667,88.14544962,62.636508625,,66.4673718091667,78.5069793933333,65.2644117516667,105.601840169167,106.243881055,131.841110175833
1998,99.0232900875,94.5358830758333,111.052365949167,81.38451077,125.2432885,140.1006005575,60.7344567816667,118.39915397,59.4870767808333,88.3401921816667,92.6610171183333,143.0743174325,74.8943541116667,111.608369218333,184.156272491667,78.2422176975,125.605125258333,63.0910206083333,64.0795040116667,,86.535702795,108.1890656775,69.3957389625,193.159064865,111.875204303333,226.626676875
1999,70.4002161966667,68.884127175,57.065344695,79.9786281675,57.04755012,119.621263508333,67.4406297666667,97.1400314466667,38.2122582525,101.663259043333,86.5670406858333,72.5736115575,61.1244955666667,84.57724106,101.0055982,51.096239885,78.6088752691667,67.6403159416667,57.6267919541667,,54.0388327791667,79.7389149158333,77.0582727908333,236.71758945,97.217425955,152.895120865833
2000,73.7834048708333,70.6029795725,72.2672634291667,91.0985808225,53.3663362691667,120.18750063,48.7429177326667,122.217676178333,37.6033428816667,84.7117385658333,72.9683237333333,71.557240125,59.3790944575,84.0517150683333,91.55108958,91.8388640175,82.4321564675,58.03911457,70.9250679016667,,47.8443941125,96.5534565316667,55.6874153445833,35.5664981791667,76.2097500633333,128.894065715
2001,112.749133338333,107.7630230825,120.9645577625,106.43292611,120.139598685833,150.630854925,105.345592318333,116.973416001667,65.8393248175,138.852759138333,94.4625695141667,107.729182285833,68.6171903725,114.86337517,124.4663451825,119.362738289167,114.2214630625,56.4638509883333,86.30473264,,91.3780040233333,152.18503884,129.160571305,43.69204509,81.2327842408333,165.555102569167
2002,101.922938430833,100.09557069,84.1925191141667,123.669850513333,106.340471373333,140.8859418375,104.973758258333,113.53901202,118.192661940833,103.151145086667,105.809241695833,98.7176861908333,100.321274195,135.215856951667,109.560261429167,109.4006115525,108.336041340833,61.0094471708333,85.3679974883333,,92.9190127383333,128.646792891667,124.356311301667,53.5124662541667,87.861589475,160.086323775
2003,100.84772001,96.8600163016667,107.534624266667,107.994178795833,110.9560661675,111.2238820375,86.6780937425,96.94483209,122.707156794167,113.641092375833,112.434547859167,63.2025329116667,108.322016714167,106.6630986675,95.1090298675,165.822952916667,97.5442406833333,78.6562902058333,95.90610313,99.9144221725,134.735577676667,127.8521580375,106.595896448333,60.1441732525,86.4802671,202.307802828333
2004,76.98895026,77.3538960041667,57.4939483683333,115.885794410833,68.0016923358333,76.4564119958333,70.8695240241667,67.7765788566667,126.985179974167,84.9603814216667,98.9123246308333,74.7405579625,69.3968436558333,106.137168978333,71.82662942,131.554228453333,69.0453831083334,81.7027586058334,82.5826237983333,76.0218398533333,82.077179735,90.600456755,83.5513808625,51.5438698808333,75.352307965,93.7979653583333
2005,65.250117125,65.97521282,43.0371139825,120.291108295,64.6837598891667,63.3558928166667,62.9683052583333,72.42669982,99.3691068516667,81.3794283508334,86.8511334041667,51.7824500666667,72.7964817416667,88.5670977225,67.2288511866667,68.6396007583333,72.4887991733333,91.402115655,76.34061972,62.2009122316667,73.5129555258333,70.8735106275,64.9618836083333,51.8946068616667,65.2168042991667,80.777991365
